,OLS,PCR,Ridge,Lasso,Elastic
1,-0.142 ,0.314 ,0.368 ,0.274 ,0.369 
2,-0.068 ,0.763 ,0.781 ,0.734 ,0.837 
3,-0.124 ,0.584 ,0.724 ,0.683 ,0.776 
4,-0.182 ,0.643 ,0.690 ,0.685 ,0.758 
5,-0.134 ,0.411 ,0.541 ,0.551 ,0.611 
6,-0.090 ,0.325 ,0.491 ,0.517 ,0.594 
7,-0.132 ,0.493 ,0.678 ,0.661 ,0.737 
8,-0.141 ,0.446 ,0.533 ,0.501 ,0.580 
9,-0.004 ,0.382 ,0.521 ,0.518 ,0.594 
10,-0.092 ,0.447 ,0.571 ,0.589 ,0.658 
11,-0.076 ,0.452 ,0.508 ,0.556 ,0.610 
12,-0.044 ,0.563 ,0.758 ,0.766 ,0.822 
13,-0.284 ,0.629 ,0.784 ,0.778 ,0.849 
14,-0.096 ,0.562 ,0.543 ,0.616 ,0.659 
15,-0.194 ,0.704 ,0.802 ,0.731 ,0.828 
16,-0.209 ,0.453 ,0.663 ,0.673 ,0.735 
17,-0.300 ,0.498 ,0.712 ,0.705 ,0.776 
18,-0.094 ,0.344 ,0.469 ,0.489 ,0.528 
19,-0.009 ,0.350 ,0.392 ,0.434 ,0.542 
20,-0.043 ,0.211 ,0.319 ,0.332 ,0.377 
21,-0.277 ,0.675 ,0.727 ,0.747 ,0.822 
22,-0.149 ,0.608 ,0.631 ,0.603 ,0.717 
23,-0.041 ,0.410 ,0.473 ,0.435 ,0.517 
24,-0.117 ,0.664 ,0.811 ,0.794 ,0.849 
25,-0.115 ,0.576 ,0.611 ,0.584 ,0.658 
26,-0.049 ,0.319 ,0.433 ,0.405 ,0.472 
27,-0.091 ,0.344 ,0.543 ,0.504 ,0.585 
28,-0.052 ,0.485 ,0.668 ,0.632 ,0.709 
29,-0.049 ,0.454 ,0.603 ,0.578 ,0.663 
30,-0.051 ,0.475 ,0.673 ,0.607 ,0.721 
31,-0.068 ,0.393 ,0.545 ,0.479 ,0.583 
32,-0.038 ,0.312 ,0.397 ,0.399 ,0.468 
33,-0.191 ,0.473 ,0.630 ,0.588 ,0.686 
34,-0.092 ,0.324 ,0.429 ,0.416 ,0.497 
35,-0.114 ,0.450 ,0.614 ,0.625 ,0.689 
36,-0.107 ,0.409 ,0.438 ,0.445 ,0.522 
37,-0.105 ,0.604 ,0.654 ,0.639 ,0.727 
38,-0.046 ,0.395 ,0.560 ,0.553 ,0.624 
39,-0.096 ,0.363 ,0.465 ,0.461 ,0.546 
40,-0.239 ,0.710 ,0.816 ,0.824 ,0.858 
41,-0.066 ,0.579 ,0.628 ,0.635 ,0.706 
42,-0.084 ,0.261 ,0.510 ,0.479 ,0.513 
43,-0.015 ,0.456 ,0.641 ,0.638 ,0.684 
44,0.032 ,0.329 ,0.425 ,0.384 ,0.451 
45,-0.124 ,0.433 ,0.588 ,0.574 ,0.658 
46,-0.024 ,0.416 ,0.567 ,0.560 ,0.619 
